Price,Close,High,Low,Open,Volume
Ticker,VTI,VTI,VTI,VTI,VTI
Date,,,,,
2020-01-07,151.55560302734375,151.88808387781748,151.26005823032196,151.71260591612975,2498400
2020-01-08,152.30364990234375,152.89472528172732,151.50014645942565,151.6479188273587,4244800
2020-01-09,153.25491333007812,153.291849376299,152.71924905960807,153.13484651824984,2216900
2020-01-10,152.81163024902344,153.58741415200763,152.57149659403976,153.55046400861755,4023000
2020-01-13,153.855224609375,153.8921747492427,152.86702679932745,153.31032983129506,3997100
2020-01-14,153.77210998535156,154.34471032979923,153.4673347429473,153.81829061462787,3062000
2020-01-15,154.15077209472656,154.60330562351785,153.69822447358573,153.77211066228318,2479200
2020-01-16,155.471435546875,155.499141103388,154.79724351781152,154.88960476775367,2205600
2020-01-17,155.8593292236328,156.09021825879648,155.49914289247144,156.09021825879648,2272000
2020-01-21,155.52687072753906,155.94248232424604,155.31445673061907,155.52687072753906,3174200
2020-01-22,155.6192626953125,156.37658575287736,155.480734863979,156.01638520670397,2113600
2020-01-23,155.79469299316406,155.86857917804562,154.5940671504492,155.2590287220344,2370000
2020-01-24,154.31698608398438,156.16409829256835,153.61508851796768,156.16409829256835,3292500
2020-01-27,151.99888610839844,152.68232279222164,151.31544942457523,151.6756357907801,4692800
2020-01-28,153.4673309326172,153.92910902921616,152.44218299447354,152.69154711249473,4010700
2020-01-29,153.36573791503906,154.2246524956074,153.23644061275823,154.1969469374293,1751700
2020-01-30,153.73516845703125,153.8736962475725,151.89728657920656,152.38677022891758,2835900
2020-01-31,151.01988220214844,153.50425011561651,150.5765651723236,153.4580694967998,4525300
2020-02-03,152.3498077392578,153.15329696963542,151.74948786896078,151.7864380015911,2783200
2020-02-04,154.75103759765625,155.17587954865917,154.05837061335615,154.20614295216984,2732700
2020-02-05,156.27493286132812,156.40423015079006,155.31442663188446,156.2010466827288,4133700
2020-02-06,156.70899963378906,156.84754151069572,156.25646614266645,156.78288581633626,2202300
2020-02-07,155.81320190429688,156.45044396415196,155.53613217390014,156.1272076889823,2579200
2020-02-10,156.95835876464844,156.95835876464844,155.3975466771251,155.41602174526355,2494100
2020-02-11,157.3924560546875,158.1590094411632,157.10615586901528,157.6880008220589,2921700
2020-02-12,158.38064575195312,158.43605686495818,157.84498150565733,158.1497567195333,2154100
2020-02-13,158.31600952148438,158.78701813228,157.512520099436,157.65104789897885,2827500
2020-02-14,158.57455444335938,158.6392101244489,157.90959302925936,158.48220730338994,2527800
2020-02-18,158.20518493652344,158.4268294125062,157.49404269392937,158.17747937702558,2459400
2020-02-19,159.0086669921875,159.36885334134988,158.63925015440267,158.77777794548473,2488100
2020-02-20,158.5283966064453,159.2487692265078,156.91217345511456,158.81471083082437,7061600
2020-02-21,156.90293884277344,157.95579218998293,156.45039129905246,157.88190601392557,2983500
2020-02-24,151.7402801513672,153.19025599688604,151.0845490760755,151.92498856519558,8710900
2020-02-25,147.10401916503906,152.74694767942816,146.6330106122853,152.4236973971954,10112300
2020-02-26,146.29129028320312,149.44062017475875,145.92187345569778,147.7782162662874,8210300
2020-02-27,139.88185119628906,145.48783092176964,139.82642597762475,143.18817053332975,14384200
2020-02-28,138.9397735595703,139.07830132927688,134.19269605555183,135.2270743156191,22272400
2020-03-02,144.6935272216797,144.83206908703832,138.1455180935253,139.83562738600068,12071600
2020-03-03,140.96238708496094,147.1225052378021,139.5308721588328,145.3123288881296,8623100
2020-03-04,146.59603881835938,146.6145138840757,142.2738035355833,143.6314319726377,5226600
2020-03-05,141.71047973632812,144.40726241859153,140.48214817656472,142.97574734714692,5343100
2020-03-06,139.0783233642578,139.77099050722757,135.87358225539646,137.59139733365544,9947700
2020-03-09,127.91252136230469,132.65036872087134,127.67240184671094,129.29785552868344,18537100
2020-03-10,134.2573699951172,134.2943201375053,127.35840355473556,133.3153527494737,11693300
2020-03-11,127.45995330810547,131.32965504565632,125.88068050398459,130.63698807379913,10760200
2020-03-12,115.06584930419922,123.45174025117764,114.8996159731448,119.30496835425674,20969500
2020-03-13,125.53898620605469,125.53898620605469,115.44452380856163,121.90941714184108,15351600
